,onset,duration,run_number,trial_number,task,ext_mot_pos,ext_mot_ver_dir,staircase_num,fix_off_prct,trial_type,ext_mot_ori,direction_report,response_duration,trial_onset,trial_offset,button_press_onset,button_left,button_right,fix_break,motion_onset,motion_offset,fixation_onset,fixation_offset,response_onset,response_offset,trial_duration,fix_check_duration,fixation_duration,response_duration,motion_duration,reaction_time,miss_time_trial,blink_trial,no_saccade_trial,main_sac_trial,innacurate_sac_trial,early_sac_trial,late_sac_trial,sac_x_onset_trial,sac_x_offset_trial,sac_y_onset_trial,sac_y_offset_trial,sac_t_onset_trial,sac_t_offset_trial,sac_dur_trial,sac_vpeak_trial,sac_dist_trial,sac_amp_trial,sac_dist_ang_trial,sac_lat_trial,sac_amp_ang_trial,cor_sac_trial,cor_sac_x_onset_trial,cor_sac_x_offset_trial,cor_sac_y_onset_trial,cor_sac_y_offset_trial,cor_sac_t_onset_trial,cor_sac_t_offset_trial,cor_sac_dur_trial,cor_sac_vpeak_trial,cor_sac_dist_trial,cor_sac_amp_trial,cor_sac_dist_ang_trial,cor_sac_amp_ang_trial
0,21677.03106,3.7246368,1,1,2,1,1,1,5,2,42.5,n/a,n/a,21587860.0,21591586.0,0.0,0.0,0.0,21590044.0,21588584.0,21590585.0,21588584.0,21589784.0,21590592.0,21591586.0,3726.0,724.0,1200.0,994.0,2001.0,-21590592.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6473065100533828,-9.401521290400982,0.024230724975261835,-0.9761520632890578,21590024.0,21590097.0,73.0,524.4843138333187,10.098500180038618,11.153505619101175,3.0423673995483753,240.0,3.0414916621718286,1.0,-9.404982822540306,-9.467290401048116,-0.9796135954283776,-1.0557673024934828,21590099.0,21590118.0,19.0,23.427580870117065,0.09839523077499657,0.1648866961925708,2.2565258377011603,-2.4602944283019355
1,21680.76386,3.507858,1,2,2,2,1,2,4,2,42.5,n/a,n/a,21591592.0,21595102.0,0.0,0.0,0.0,21593558.0,21592109.0,21594101.0,21592109.0,21593102.0,21594108.0,21595102.0,3510.0,517.0,993.0,994.0,1992.0,-21594108.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4430761138333289,10.495365446427018,0.08653830348307236,-0.6992294921432263,21593544.0,21593619.0,75.0,482.97436441196334,10.082953528347748,10.630748429985472,0.07800941663924504,442.0,0.08508817515730539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,21684.28004,3.5078285,1,3,2,1,2,2,3,1,42.5,n/a,n/a,21595108.0,21598617.0,0.0,0.0,0.0,21596834.0,21595625.0,21597618.0,21595625.0,21596418.0,21597624.0,21598617.0,3509.0,517.0,793.0,993.0,1993.0,-21597624.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15576894626953025,-10.748057292597586,0.14538434985156315,1.6373047018997295,21596819.0,21596884.0,65.0,587.2788496507417,11.005419255269768,11.881973155233883,-3.0056116368999426,401.0,-3.0124678751678564,1.0,0.05884604636849078,0.3911531317434855,0.9934597239856703,0.7961523920442657,21597613.0,21597643.0,30.0,32.889615653722366,0.38646886320667495,0.36139456524975794,0.535811237960467,0.6358384235237455
3,21687.7962,3.5078609,1,4,2,1,2,1,4,1,42.5,n/a,n/a,21598624.0,21602134.0,0.0,0.0,0.0,21600551.0,21599141.0,21601134.0,21599141.0,21600134.0,21601141.0,21602134.0,3510.0,517.0,993.0,993.0,1993.0,-21601141.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4880760316445289,-9.50536725458067,0.017307660696614473,1.1146133488619716,21600536.0,21600601.0,65.0,570.0482988215169,10.05350627832298,11.015499231868036,-3.0322282073611055,402.0,-3.0373900901376922,1.0,0.4880760316445289,-9.50536725458067,0.017307660696614473,1.1146133488619716,21600536.0,21600601.0,65.0,570.0482988215169,10.05350627832298,11.015499231868036,-3.0322282073611055,-3.0373900901376922
4,21691.31238,3.5161614,1,5,2,2,1,2,1,1,42.5,n/a,n/a,21602141.0,21605659.0,0.0,0.0,0.0,21603409.0,21602666.0,21604659.0,21602667.0,21603059.0,21604665.0,21605660.0,3518.0,526.0,392.0,995.0,1993.0,-21604665.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1626920105481776,9.993443286225197,0.43269151741536177,0.8411523098554617,21603384.0,21603471.0,87.0,470.15322186245504,9.839233245694817,10.275638469575089,-0.0415254110508512,325.0,-0.061010922548605226,1.0,0.22499958905598813,0.38769159960416577,0.6784602993072881,0.6853833635859315,21604246.0,21604267.0,21.0,49.04176551528159,0.16283924316704057,0.3745019447440468,-0.042527534619769304,-0.14843290925008612
5,21694.84521,3.5078355,1,6,2,2,2,1,5,2,42.5,n/a,n/a,21605675.0,21609183.0,0.0,0.0,0.0,21607591.0,21606191.0,21608183.0,21606192.0,21607382.0,21608190.0,21609184.0,3508.0,517.0,1190.0,994.0,1992.0,-21608190.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.294230231842446,9.494982658162698,0.4049992603007802,1.6338431697604057,21607568.0,21607639.0,71.0,492.31836150071496,9.282451323020984,10.08443174305038,-0.1327733164231508,186.0,-0.1318483613378504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,21698.36151,3.5994591,1,7,2,2,2,2,4,1,42.5,n/a,n/a,21609190.0,21612790.0,0.0,0.0,0.0,21611006.0,21609799.0,21611791.0,21609799.0,21610789.0,21611797.0,21612790.0,3600.0,609.0,990.0,993.0,1992.0,-21611797.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3080763603997368,9.373829033286396,0.3773070031861947,1.2219208451809822,21610988.0,21611066.0,78.0,459.7547311264275,9.105012030087648,9.298070313959611,-0.0928971739370033,199.0,-0.10255806841755724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,21701.9692,3.5078251,1,8,2,2,1,2,2,1,42.5,n/a,n/a,21612797.0,21616307.0,0.0,0.0,0.0,21614097.0,21613314.0,21615307.0,21613314.0,21613907.0,21615313.0,21616307.0,3510.0,517.0,593.0,994.0,1993.0,-21615313.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0553845142291671,9.342675244032495,0.38423006746484206,0.7303832813971315,21614076.0,21614163.0,87.0,483.6757485802518,9.293739352241728,9.348030170669512,-0.03725446609916522,169.0,-0.06410499323147133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,21705.4855,3.5077184,1,9,2,2,2,2,5,1,42.5,n/a,n/a,21616314.0,21619823.0,0.0,0.0,0.0,21618256.0,21616830.0,21618822.0,21616830.0,21618023.0,21618830.0,21619823.0,3509.0,516.0,1193.0,993.0,1992.0,-21618830.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1626920105481776,8.965368240846296,0.1730766069661447,1.4919203520481683,21618236.0,21618320.0,84.0,490.92132000106585,8.90092453846214,9.071658087374429,-0.1487168806727794,213.0,-0.153229543009587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,21709.00153,3.5078264,1,10,2,1,1,1,3,1,42.5,n/a,n/a,21619829.0,21623339.0,0.0,0.0,0.0,21621379.0,21620346.0,21622339.0,21620346.0,21621139.0,21622346.0,21623339.0,3510.0,517.0,793.0,993.0,1993.0,-21622346.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2561533783098934,-9.463828868908793,0.1107690284583342,0.33576861751432235,21621362.0,21621433.0,71.0,512.0809406322178,9.722586060371068,10.432989532870499,-3.1184486386558117,223.0,-3.0971185121259404,1.0,-2.8488409506627406,-2.4299955618046734,0.4846144995052052,0.46730683880859075,21622191.0,21622212.0,21.0,44.93330057583958,0.4192028326317161,0.4234544770186902,0.04129881836960643,0.1476773370478231
